"Product Name",Category,"Parts No","Rack No","Column No","Row No","Available unit","Unit type","Brand Name"
"Product 1913",Stationery,P1913,R10,C2,RW4,41.00,Feet,
"Product 1402","Ball & Bearing",P1402,R4,C1,RW3,27.00,Coel,
"Product 1658","Loom F SN-4",P1658,R10,C2,RW2,80.00,KG,
"Product 1914","Loom F SN-6 m",P1914,R3,C3,RW3,68.00,pcs,
"Product 1403","Loom F SN-4",P1403,R9,C1,RW2,36.00,Feet,
"Product 1659","Loom F SN-4",P1659,R6,C3,RW5,89.00,Feet,
"Product 1915","Sewing & printing",P1915,R7,C1,RW1,60.00,Feet,
"Product 1404","Ball & Bearing",P1404,R1,C5,RW4,22.00,Coel,
"Product 1660","Loom F SN-6 m",P1660,R7,C5,RW4,54.00,Feet,
"Product 1916","Loom F SN-4",P1916,R6,C4,RW2,12.00,Coel,
"Product 1405","Loom F SN-4",P1405,R4,C1,RW3,55.00,KG,
"Product 1661","Sewing & printing",P1661,R4,C2,RW4,78.00,Coel,
"Product 1917","Loom F SN-4",P1917,R4,C1,RW5,22.00,Coel,
"Product 1406","Ball & Bearing",P1406,R6,C2,RW5,37.00,Feet,
"Product 1662","Loom F SN-4",P1662,R7,C3,RW1,71.00,Coel,
"Product 1918",Stationery,P1918,R10,C3,RW3,44.00,pkt,
"Product 1407","Ball & Bearing",P1407,R3,C5,RW5,49.00,KG,
"Product 1663","Sewing & printing",P1663,R1,C1,RW2,27.00,Coel,
"Product 1919","Loom F SN-4",P1919,R4,C2,RW4,87.00,KG,
"Product 1408","Loom F SN-6 m",P1408,R8,C2,RW3,38.00,pcs,
"Product 1664","Loom F SN-6 m",P1664,R10,C3,RW3,68.00,pcs,
"Product 1920","Loom F SN-6 m",P1920,R3,C4,RW4,65.00,Coel,
"Product 1409","Loom F SN-4",P1409,R2,C1,RW1,78.00,Feet,
"Product 1665",Stationery,P1665,R3,C5,RW2,55.00,Feet,
"Product 1921","Sewing & printing",P1921,R1,C1,RW3,32.00,Feet,
"Product 1410","Ball & Bearing",P1410,R1,C4,RW2,10.00,Feet,
"Product 1666","Loom F SN-4",P1666,R9,C2,RW1,75.00,pcs,
"Product 1922","Sewing & printing",P1922,R3,C5,RW5,24.00,KG,
"Product 1411","Loom F SN-6 m",P1411,R3,C4,RW1,27.00,pcs,
"Product 1667","Ball & Bearing",P1667,R6,C5,RW2,46.00,pkt,
"Product 1923",Stationery,P1923,R5,C1,RW3,34.00,Feet,
"Product 1412","Ball & Bearing",P1412,R1,C2,RW4,29.00,KG,
"Product 1668","Loom F SN-4",P1668,R2,C1,RW1,33.00,pcs,
"Product 1924","Sewing & printing",P1924,R9,C4,RW4,18.00,pkt,
"Product 1413","Loom F SN-4",P1413,R10,C1,RW5,54.00,pkt,
"Product 1669","Ball & Bearing",P1669,R4,C2,RW4,25.00,KG,
"Product 1925","Ball & Bearing",P1925,R7,C3,RW4,47.00,pcs,
"Product 1414","Loom F SN-4",P1414,R1,C2,RW1,88.00,KG,
"Product 1670","Ball & Bearing",P1670,R7,C5,RW1,46.00,pkt,
"Product 1926","Loom F SN-4",P1926,R2,C1,RW1,40.00,KG,
"Product 1415","Ball & Bearing",P1415,R7,C3,RW3,68.00,pcs,
"Product 1671",Stationery,P1671,R1,C5,RW1,27.00,pcs,
"Product 1927",Stationery,P1927,R3,C2,RW1,48.00,Feet,
"Product 1416",Stationery,P1416,R8,C2,RW5,59.00,Feet,
"Product 1672","Ball & Bearing",P1672,R8,C2,RW1,89.00,Coel,
"Product 1928","Loom F SN-6 m",P1928,R2,C2,RW3,30.00,KG,
"Product 1417","Loom F SN-6 m",P1417,R3,C3,RW5,93.00,Coel,
"Product 1673","Sewing & printing",P1673,R7,C3,RW1,76.00,Feet,
"Product 1929",Stationery,P1929,R5,C3,RW2,51.00,KG,
"Product 1418","Loom F SN-6 m",P1418,R6,C4,RW2,98.00,Feet,
"Product 1674","Loom F SN-6 m",P1674,R2,C1,RW3,74.00,KG,
"Product 1930","Ball & Bearing",P1930,R10,C5,RW3,68.00,Coel,
"Product 1419","Ball & Bearing",P1419,R4,C1,RW3,28.00,pkt,
"Product 1675","Ball & Bearing",P1675,R8,C4,RW5,39.00,pcs,
"Product 1931","Loom F SN-6 m",P1931,R10,C2,RW4,58.00,Feet,
"Product 1420","Loom F SN-6 m",P1420,R4,C1,RW2,53.00,Feet,
"Product 1676","Sewing & printing",P1676,R6,C4,RW2,54.00,pcs,
"Product 1932","Sewing & printing",P1932,R1,C4,RW5,47.00,KG,
"Product 1421","Sewing & printing",P1421,R8,C3,RW4,73.00,KG,
"Product 1677",Stationery,P1677,R7,C5,RW2,63.00,KG,
"Product 1933","Ball & Bearing",P1933,R10,C3,RW5,39.00,pcs,
"Product 1422","Ball & Bearing",P1422,R5,C5,RW4,57.00,pkt,
"Product 1678",Stationery,P1678,R10,C3,RW3,11.00,Feet,
"Product 1934",Stationery,P1934,R4,C3,RW5,34.00,pkt,
"Product 1423","Loom F SN-4",P1423,R2,C3,RW1,87.00,pkt,
"Product 1679","Loom F SN-4",P1679,R3,C2,RW3,58.00,Feet,
"Product 1935","Loom F SN-4",P1935,R7,C1,RW2,79.00,KG,
"Product 1424","Ball & Bearing",P1424,R1,C4,RW2,74.00,KG,
"Product 1680","Loom F SN-6 m",P1680,R1,C2,RW1,43.00,KG,
"Product 1936","Loom F SN-6 m",P1936,R5,C5,RW4,37.00,Feet,
"Product 1425","Ball & Bearing",P1425,R7,C5,RW4,36.00,pcs,
"Product 1681",Stationery,P1681,R3,C3,RW2,62.00,pkt,
"Product 1937","Ball & Bearing",P1937,R5,C2,RW1,98.00,pkt,
"Product 1426","Ball & Bearing",P1426,R9,C3,RW2,12.00,pkt,
"Product 1682","Loom F SN-6 m",P1682,R9,C4,RW1,27.00,pcs,
"Product 1938","Ball & Bearing",P1938,R1,C5,RW2,66.00,Coel,
"Product 1427","Ball & Bearing",P1427,R7,C2,RW3,59.00,pcs,
"Product 1683","Loom F SN-6 m",P1683,R2,C5,RW5,12.00,pcs,
"Product 1939","Loom F SN-6 m",P1939,R3,C5,RW1,93.00,Feet,
"Product 1428","Ball & Bearing",P1428,R5,C1,RW2,84.00,Feet,
"Product 1684","Loom F SN-6 m",P1684,R1,C2,RW2,69.00,Coel,
"Product 1940","Sewing & printing",P1940,R5,C4,RW2,29.00,Coel,
"Product 1429","Loom F SN-6 m",P1429,R3,C4,RW4,56.00,pkt,
"Product 1685","Ball & Bearing",P1685,R10,C5,RW3,46.00,Feet,
"Product 1941","Ball & Bearing",P1941,R2,C2,RW4,93.00,KG,
"Product 1430","Sewing & printing",P1430,R10,C2,RW1,92.00,Feet,
"Product 1686",Stationery,P1686,R3,C4,RW2,20.00,KG,
"Product 1942","Loom F SN-6 m",P1942,R6,C1,RW2,65.00,Feet,
"Product 1431","Ball & Bearing",P1431,R6,C4,RW2,42.00,pcs,
"Product 1687","Loom F SN-6 m",P1687,R5,C2,RW3,37.00,KG,
"Product 1943","Loom F SN-4",P1943,R4,C5,RW5,95.00,KG,
"Product 1432","Ball & Bearing",P1432,R1,C1,RW2,61.00,Coel,
"Product 1688","Sewing & printing",P1688,R8,C4,RW5,85.00,KG,
"Product 1944","Loom F SN-6 m",P1944,R1,C4,RW1,52.00,Coel,
"Product 1433","Ball & Bearing",P1433,R8,C5,RW1,83.00,Coel,
"Product 1689","Ball & Bearing",P1689,R9,C5,RW1,56.00,KG,
"Product 1945","Loom F SN-6 m",P1945,R8,C5,RW2,14.00,pcs,
"Product 1434",Stationery,P1434,R5,C5,RW5,60.00,Feet,
"Product 1690","Loom F SN-4",P1690,R8,C5,RW3,78.00,pcs,
"Product 1946","Loom F SN-4",P1946,R3,C4,RW2,92.00,KG,
"Product 1435","Ball & Bearing",P1435,R1,C1,RW5,35.00,KG,
"Product 1691","Loom F SN-4",P1691,R2,C2,RW2,78.00,pkt,
"Product 1947","Ball & Bearing",P1947,R8,C5,RW5,25.00,KG,
"Product 1436","Loom F SN-6 m",P1436,R1,C5,RW1,32.00,Coel,
"Product 1692","Sewing & printing",P1692,R7,C2,RW4,41.00,pkt,
"Product 1948","Ball & Bearing",P1948,R7,C2,RW2,59.00,Feet,
"Product 1437",Stationery,P1437,R7,C4,RW4,12.00,KG,
"Product 1693","Sewing & printing",P1693,R5,C2,RW1,64.00,KG,
"Product 1949","Loom F SN-6 m",P1949,R9,C3,RW3,55.00,Coel,
"Product 1438","Sewing & printing",P1438,R6,C4,RW1,23.00,pcs,
"Product 1694",Stationery,P1694,R6,C1,RW4,68.00,Coel,
"Product 1950","Sewing & printing",P1950,R5,C1,RW5,71.00,pkt,
"Product 1439",Stationery,P1439,R2,C2,RW2,100.00,Coel,
"Product 1695",Stationery,P1695,R6,C3,RW2,60.00,pkt,
"Product 1951","Ball & Bearing",P1951,R1,C2,RW3,12.00,pkt,
"Product 1440","Loom F SN-4",P1440,R6,C5,RW2,38.00,Feet,
"Product 1696","Sewing & printing",P1696,R7,C4,RW4,25.00,Coel,
"Product 1952","Ball & Bearing",P1952,R2,C1,RW1,98.00,pkt,
"Product 1441","Loom F SN-6 m",P1441,R5,C2,RW1,23.00,pcs,
"Product 1697","Sewing & printing",P1697,R9,C5,RW3,59.00,KG,
"Product 1953","Loom F SN-4",P1953,R1,C3,RW5,67.00,Coel,
"Product 1442",Stationery,P1442,R9,C3,RW1,22.00,KG,
"Product 1698","Ball & Bearing",P1698,R8,C4,RW5,23.00,KG,
"Product 1954",Stationery,P1954,R5,C1,RW4,61.00,Feet,
"Product 1443","Ball & Bearing",P1443,R6,C4,RW1,73.00,KG,
"Product 1699","Sewing & printing",P1699,R5,C4,RW4,83.00,KG,
"Product 1955",Stationery,P1955,R10,C4,RW3,51.00,KG,
"Product 1444","Ball & Bearing",P1444,R3,C1,RW2,78.00,KG,
"Product 1700","Loom F SN-4",P1700,R7,C1,RW5,84.00,KG,
"Product 1956","Loom F SN-6 m",P1956,R4,C2,RW3,51.00,pcs,
"Product 1445",Stationery,P1445,R2,C4,RW3,97.00,pkt,
"Product 1701","Loom F SN-4",P1701,R6,C2,RW3,26.00,Coel,
"Product 1957","Sewing & printing",P1957,R6,C5,RW4,58.00,Feet,
"Product 1446","Ball & Bearing",P1446,R6,C4,RW4,47.00,pcs,
"Product 1702","Ball & Bearing",P1702,R4,C4,RW2,12.00,Feet,
"Product 1958","Sewing & printing",P1958,R6,C5,RW3,38.00,pkt,
"Product 1447","Ball & Bearing",P1447,R6,C4,RW5,67.00,Coel,
"Product 1703","Ball & Bearing",P1703,R10,C2,RW3,92.00,pkt,
"Product 1959","Ball & Bearing",P1959,R10,C5,RW3,81.00,KG,
"Product 1448","Loom F SN-6 m",P1448,R8,C4,RW5,56.00,Coel,
"Product 1704","Loom F SN-4",P1704,R2,C4,RW5,88.00,KG,
"Product 1960","Ball & Bearing",P1960,R6,C3,RW4,96.00,Feet,
"Product 1449","Ball & Bearing",P1449,R9,C5,RW1,78.00,pcs,
"Product 1705","Loom F SN-6 m",P1705,R7,C3,RW4,12.00,pkt,
"Product 1961","Ball & Bearing",P1961,R7,C2,RW2,92.00,Coel,
"Product 1450","Ball & Bearing",P1450,R10,C2,RW4,43.00,Feet,
"Product 1706","Sewing & printing",P1706,R4,C4,RW4,79.00,Feet,
"Product 1962","Ball & Bearing",P1962,R5,C2,RW5,30.00,Coel,
"Product 1451","Sewing & printing",P1451,R6,C3,RW2,57.00,KG,
"Product 1707",Stationery,P1707,R4,C1,RW2,19.00,KG,
"Product 1963",Stationery,P1963,R10,C3,RW1,71.00,Feet,
"Product 1452","Sewing & printing",P1452,R4,C4,RW2,95.00,Feet,
"Product 1708","Sewing & printing",P1708,R2,C4,RW5,15.00,Coel,
"Product 1964","Sewing & printing",P1964,R1,C4,RW3,83.00,KG,
"Product 1453","Loom F SN-4",P1453,R4,C2,RW1,66.00,pcs,
"Product 1709","Loom F SN-6 m",P1709,R8,C4,RW5,51.00,pkt,
"Product 1965",Stationery,P1965,R7,C3,RW4,28.00,Feet,
"Product 1454","Loom F SN-6 m",P1454,R10,C5,RW4,65.00,pcs,
"Product 1710","Loom F SN-6 m",P1710,R8,C5,RW3,55.00,KG,
"Product 1966","Loom F SN-4",P1966,R10,C4,RW3,22.00,KG,
"Product 1455","Sewing & printing",P1455,R6,C2,RW5,62.00,KG,
"Product 1711","Sewing & printing",P1711,R7,C3,RW5,49.00,pkt,
"Product 1967","Loom F SN-4",P1967,R6,C5,RW1,13.00,pkt,
"Product 1456","Ball & Bearing",P1456,R2,C2,RW5,28.00,KG,
"Product 1712","Loom F SN-4",P1712,R7,C2,RW2,62.00,KG,
"Product 1968",Stationery,P1968,R6,C4,RW2,68.00,pcs,
"Product 1457","Ball & Bearing",P1457,R8,C4,RW2,83.00,pkt,
"Product 1713",Stationery,P1713,R3,C4,RW4,10.00,Feet,
"Product 1969","Sewing & printing",P1969,R5,C3,RW5,53.00,pkt,
"Product 1458","Sewing & printing",P1458,R3,C5,RW2,53.00,pcs,
"Product 1714","Loom F SN-6 m",P1714,R9,C1,RW4,14.00,Coel,
"Product 1970",Stationery,P1970,R10,C2,RW1,74.00,KG,
"Product 1459","Ball & Bearing",P1459,R10,C4,RW2,16.00,KG,
"Product 1715","Ball & Bearing",P1715,R7,C2,RW4,28.00,Coel,
"Product 1971","Loom F SN-6 m",P1971,R4,C4,RW4,10.00,pcs,
"Product 1460",Stationery,P1460,R7,C3,RW5,42.00,KG,
"Product 1716","Sewing & printing",P1716,R1,C4,RW4,50.00,KG,
"Product 1972","Loom F SN-6 m",P1972,R4,C1,RW1,95.00,KG,
"Product 1461",Stationery,P1461,R3,C5,RW5,85.00,KG,
"Product 1717","Loom F SN-6 m",P1717,R3,C4,RW4,37.00,Coel,
"Product 1973","Ball & Bearing",P1973,R6,C1,RW1,51.00,pkt,
"Product 1462","Loom F SN-4",P1462,R10,C5,RW2,38.00,Feet,
"Product 1718","Sewing & printing",P1718,R7,C2,RW3,92.00,Coel,
"Product 1974","Sewing & printing",P1974,R4,C3,RW5,60.00,KG,
"Product 1463","Loom F SN-6 m",P1463,R10,C4,RW1,27.00,pkt,
"Product 1719","Loom F SN-4",P1719,R2,C5,RW2,11.00,Coel,
"Product 1975","Sewing & printing",P1975,R8,C4,RW2,27.00,pkt,
"Product 1464","Loom F SN-6 m",P1464,R4,C4,RW3,85.00,pcs,
"Product 1720","Sewing & printing",P1720,R1,C3,RW1,55.00,Coel,
"Product 1976","Sewing & printing",P1976,R3,C4,RW4,32.00,KG,
"Product 1465","Ball & Bearing",P1465,R2,C4,RW5,46.00,pkt,
"Product 1721",Stationery,P1721,R1,C4,RW3,81.00,pcs,
"Product 1977","Loom F SN-6 m",P1977,R10,C2,RW2,53.00,Coel,
"Product 1466","Loom F SN-4",P1466,R1,C1,RW2,14.00,pkt,
"Product 1722","Loom F SN-4",P1722,R10,C1,RW3,55.00,pcs,
"Product 1978","Loom F SN-4",P1978,R7,C3,RW3,74.00,pkt,
"Product 1467","Loom F SN-4",P1467,R5,C5,RW5,97.00,pkt,
"Product 1723","Sewing & printing",P1723,R7,C5,RW3,48.00,pcs,
"Product 1979",Stationery,P1979,R4,C5,RW3,22.00,pcs,
"Product 1468",Stationery,P1468,R9,C1,RW3,12.00,KG,
"Product 1724","Loom F SN-6 m",P1724,R7,C1,RW2,71.00,pcs,
"Product 1980","Sewing & printing",P1980,R9,C5,RW3,26.00,pkt,
"Product 1469","Sewing & printing",P1469,R8,C1,RW3,81.00,pkt,
"Product 1725",Stationery,P1725,R1,C3,RW2,78.00,KG,
"Product 1981","Ball & Bearing",P1981,R2,C3,RW2,67.00,pkt,
"Product 1470","Ball & Bearing",P1470,R2,C2,RW1,85.00,pkt,
"Product 1726","Ball & Bearing",P1726,R2,C5,RW1,65.00,pkt,
"Product 1982","Loom F SN-6 m",P1982,R2,C5,RW2,87.00,pkt,
"Product 1471","Sewing & printing",P1471,R2,C3,RW3,15.00,pcs,
"Product 1727","Loom F SN-4",P1727,R10,C3,RW2,24.00,pkt,
"Product 1983","Ball & Bearing",P1983,R2,C1,RW4,32.00,KG,
"Product 1472",Stationery,P1472,R5,C1,RW4,96.00,Feet,
"Product 1728","Ball & Bearing",P1728,R2,C2,RW1,24.00,pkt,
"Product 1984","Loom F SN-6 m",P1984,R9,C1,RW5,74.00,pkt,
"Product 1473",Stationery,P1473,R10,C4,RW1,14.00,pcs,
"Product 1729","Loom F SN-6 m",P1729,R6,C5,RW3,91.00,pcs,
"Product 1985",Stationery,P1985,R5,C3,RW5,92.00,pkt,
"Product 1474","Ball & Bearing",P1474,R8,C1,RW2,34.00,pcs,
"Product 1730","Loom F SN-4",P1730,R2,C3,RW5,55.00,pkt,
"Product 1986","Ball & Bearing",P1986,R3,C4,RW5,12.00,Feet,
"Product 1475",Stationery,P1475,R1,C4,RW1,68.00,Feet,
"Product 1731","Loom F SN-6 m",P1731,R1,C3,RW3,88.00,KG,
"Product 1987","Sewing & printing",P1987,R10,C1,RW2,58.00,Coel,
"Product 1476","Loom F SN-6 m",P1476,R2,C4,RW3,66.00,pkt,
"Product 1732","Sewing & printing",P1732,R6,C4,RW3,20.00,Coel,
"Product 1988","Ball & Bearing",P1988,R6,C4,RW5,73.00,Coel,
"Product 1477","Ball & Bearing",P1477,R8,C5,RW2,67.00,Coel,
"Product 1733","Ball & Bearing",P1733,R5,C3,RW1,98.00,KG,
"Product 1989","Ball & Bearing",P1989,R10,C4,RW3,69.00,KG,
"Product 1478","Loom F SN-6 m",P1478,R8,C5,RW2,97.00,KG,
"Product 1734","Sewing & printing",P1734,R10,C3,RW2,89.00,pkt,
"Product 1990","Loom F SN-6 m",P1990,R5,C3,RW4,73.00,pkt,
"Product 1479","Sewing & printing",P1479,R3,C2,RW4,89.00,KG,
"Product 1735","Sewing & printing",P1735,R2,C2,RW4,76.00,Feet,
"Product 1991","Loom F SN-4",P1991,R5,C2,RW4,92.00,KG,
"Product 1480","Loom F SN-4",P1480,R9,C3,RW2,25.00,pcs,
"Product 1736","Loom F SN-6 m",P1736,R8,C4,RW5,37.00,pkt,
"Product 1992","Ball & Bearing",P1992,R4,C2,RW2,65.00,KG,
"Product 1481","Sewing & printing",P1481,R10,C5,RW5,25.00,KG,
"Product 1737","Loom F SN-4",P1737,R3,C2,RW5,87.00,pkt,
"Product 1993","Loom F SN-6 m",P1993,R8,C1,RW4,15.00,pkt,
"Product 1482","Loom F SN-6 m",P1482,R10,C2,RW2,12.00,KG,
"Product 1738","Sewing & printing",P1738,R4,C5,RW2,66.00,Coel,
"Product 1994","Sewing & printing",P1994,R5,C5,RW4,79.00,pcs,
"Product 1483","Loom F SN-6 m",P1483,R4,C3,RW1,23.00,pkt,
"Product 1739",Stationery,P1739,R6,C5,RW5,73.00,pcs,
"Product 1995","Sewing & printing",P1995,R2,C2,RW4,55.00,pcs,
"Product 1484","Loom F SN-4",P1484,R3,C2,RW5,26.00,Feet,
"Product 1740","Sewing & printing",P1740,R9,C5,RW4,13.00,pcs,
"Product 1996","Sewing & printing",P1996,R7,C1,RW3,41.00,KG,
"Product 1485",Stationery,P1485,R6,C5,RW2,64.00,Feet,
"Product 1741","Loom F SN-4",P1741,R2,C5,RW5,41.00,pcs,
"Product 1997","Loom F SN-6 m",P1997,R7,C2,RW2,27.00,pcs,
"Product 1486","Ball & Bearing",P1486,R2,C5,RW2,19.00,Feet,
"Product 1742","Loom F SN-4",P1742,R8,C2,RW1,53.00,Feet,
"Product 1998","Sewing & printing",P1998,R2,C5,RW3,58.00,KG,
"Product 1487","Loom F SN-4",P1487,R8,C1,RW4,65.00,KG,
"Product 1743","Loom F SN-4",P1743,R4,C5,RW4,67.00,pkt,
"Product 1999","Loom F SN-4",P1999,R9,C4,RW2,87.00,Coel,
"Product 1488","Loom F SN-4",P1488,R5,C4,RW1,46.00,Coel,
"Product 1744",Stationery,P1744,R1,C3,RW4,65.00,pcs,
"Product 2000","Loom F SN-4",P2000,R7,C3,RW1,21.00,pkt,
"Product 1489",Stationery,P1489,R2,C1,RW5,63.00,Feet,
"Product 1745","Loom F SN-4",P1745,R4,C5,RW4,87.00,pkt,
"Product 1490","Loom F SN-4",P1490,R3,C4,RW3,28.00,pkt,
"Product 1746","Loom F SN-4",P1746,R3,C1,RW2,34.00,KG,
"Product 1491","Sewing & printing",P1491,R6,C5,RW2,36.00,KG,
"Product 1747","Loom F SN-6 m",P1747,R6,C3,RW5,80.00,pcs,
"Product 1492","Loom F SN-6 m",P1492,R6,C4,RW1,48.00,Coel,
"Product 1748","Sewing & printing",P1748,R5,C4,RW1,36.00,Feet,
"Product 1493","Loom F SN-4",P1493,R4,C3,RW4,91.00,Coel,
"Product 1749","Loom F SN-4",P1749,R8,C4,RW4,60.00,Coel,
"Product 1494","Sewing & printing",P1494,R1,C2,RW5,26.00,Coel,
"Product 1750",Stationery,P1750,R3,C3,RW4,18.00,Coel,
"Product 1495","Loom F SN-6 m",P1495,R4,C3,RW4,22.00,Coel,
"Product 1751","Sewing & printing",P1751,R7,C3,RW2,86.00,Coel,
"Product 1496","Loom F SN-4",P1496,R8,C3,RW1,69.00,Coel,
"Product 1752","Ball & Bearing",P1752,R5,C1,RW4,99.00,Feet,
"Product 1497","Loom F SN-6 m",P1497,R9,C5,RW2,76.00,Feet,
"Product 1753","Ball & Bearing",P1753,R6,C2,RW2,96.00,Feet,
"Product 1498","Loom F SN-6 m",P1498,R5,C2,RW2,84.00,pcs,
"Product 1754",Stationery,P1754,R4,C5,RW1,84.00,Feet,
"Product 1499","Loom F SN-4",P1499,R2,C3,RW5,29.00,pkt,
"Product 1755","Sewing & printing",P1755,R8,C1,RW5,30.00,pkt,
"Product 1500","Loom F SN-6 m",P1500,R6,C1,RW3,29.00,KG,
"Product 1756","Ball & Bearing",P1756,R4,C4,RW1,84.00,KG,
"Product 1501","Ball & Bearing",P1501,R4,C2,RW4,47.00,Feet,
"Product 1757","Ball & Bearing",P1757,R4,C4,RW5,94.00,Feet,
"Product 1502",Stationery,P1502,R7,C5,RW1,90.00,Feet,
"Product 1758",Stationery,P1758,R1,C3,RW4,10.00,pcs,
"Product 1503",Stationery,P1503,R8,C1,RW4,35.00,Feet,
"Product 1759","Loom F SN-4",P1759,R8,C5,RW2,72.00,pkt,
"Product 1504","Loom F SN-4",P1504,R5,C5,RW2,41.00,KG,
"Product 1760","Sewing & printing",P1760,R7,C3,RW5,83.00,KG,
"Product 1505",Stationery,P1505,R4,C3,RW3,39.00,pcs,
"Product 1761",Stationery,P1761,R6,C2,RW4,24.00,KG,
"Product 1506","Loom F SN-4",P1506,R6,C2,RW2,58.00,Feet,
"Product 1762","Loom F SN-6 m",P1762,R5,C2,RW4,97.00,Feet,
"Product 1507","Loom F SN-4",P1507,R4,C2,RW3,81.00,KG,
"Product 1763",Stationery,P1763,R5,C4,RW3,45.00,Feet,
"Product 1508","Loom F SN-6 m",P1508,R2,C2,RW1,73.00,pcs,
"Product 1764","Sewing & printing",P1764,R2,C2,RW5,52.00,KG,
"Product 1509","Loom F SN-4",P1509,R2,C4,RW5,49.00,Feet,
"Product 1765","Loom F SN-6 m",P1765,R10,C4,RW1,64.00,Coel,
"Product 1510",Stationery,P1510,R2,C1,RW3,61.00,Feet,
"Product 1766","Sewing & printing",P1766,R4,C4,RW5,20.00,pcs,
"Product 1511","Sewing & printing",P1511,R7,C2,RW3,54.00,pcs,
"Product 1767",Stationery,P1767,R5,C1,RW5,67.00,Feet,
"Product 1512","Loom F SN-4",P1512,R10,C4,RW2,81.00,KG,
"Product 1768","Loom F SN-6 m",P1768,R7,C5,RW3,69.00,pkt,
"Product 1513","Loom F SN-6 m",P1513,R8,C1,RW4,12.00,pcs,
"Product 1769",Stationery,P1769,R1,C2,RW4,18.00,Coel,
"Product 1514",Stationery,P1514,R9,C4,RW2,12.00,pkt,
"Product 1770","Sewing & printing",P1770,R8,C4,RW4,59.00,KG,
"Product 1515","Loom F SN-6 m",P1515,R1,C4,RW1,47.00,pcs,
"Product 1771",Stationery,P1771,R5,C2,RW1,48.00,Coel,
"Product 1516","Sewing & printing",P1516,R10,C1,RW1,10.00,Feet,
"Product 1772","Ball & Bearing",P1772,R9,C1,RW5,20.00,Coel,
"Product 1517",Stationery,P1517,R1,C2,RW3,47.00,Coel,
"Product 1773","Loom F SN-6 m",P1773,R5,C4,RW1,47.00,pkt,
"Product 1518","Sewing & printing",P1518,R3,C3,RW5,81.00,Coel,
"Product 1774","Sewing & printing",P1774,R5,C3,RW2,96.00,pcs,
"Product 1519","Loom F SN-4",P1519,R4,C1,RW5,79.00,Feet,
"Product 1775","Loom F SN-4",P1775,R7,C5,RW4,48.00,pcs,
"Product 1520","Loom F SN-4",P1520,R7,C1,RW4,44.00,Feet,
"Product 1776","Ball & Bearing",P1776,R1,C4,RW5,61.00,Coel,
"Product 1521","Sewing & printing",P1521,R1,C4,RW3,54.00,pcs,
"Product 1777","Sewing & printing",P1777,R4,C4,RW4,43.00,pkt,
"Product 1522","Loom F SN-6 m",P1522,R6,C4,RW4,48.00,KG,
"Product 1778","Loom F SN-6 m",P1778,R5,C1,RW3,48.00,Coel,
"Product 1523","Ball & Bearing",P1523,R2,C5,RW1,59.00,Feet,
"Product 1779","Loom F SN-4",P1779,R9,C4,RW1,47.00,Coel,
"Product 1524",Stationery,P1524,R4,C5,RW3,15.00,pcs,
"Product 1780","Sewing & printing",P1780,R1,C5,RW4,47.00,KG,
"Product 1525","Sewing & printing",P1525,R7,C5,RW1,100.00,pcs,
"Product 1781","Loom F SN-4",P1781,R8,C1,RW4,87.00,pcs,
"Product 1526","Ball & Bearing",P1526,R1,C4,RW2,25.00,KG,
"Product 1782","Loom F SN-4",P1782,R1,C5,RW2,90.00,Coel,
"Product 1527","Ball & Bearing",P1527,R9,C1,RW3,25.00,pkt,
"Product 1783",Stationery,P1783,R5,C1,RW5,36.00,Feet,
"Product 1528","Sewing & printing",P1528,R3,C3,RW1,93.00,pcs,
"Product 1784","Ball & Bearing",P1784,R7,C5,RW3,20.00,pcs,
"Product 1529","Loom F SN-6 m",P1529,R5,C5,RW5,74.00,Feet,
"Product 1785","Sewing & printing",P1785,R7,C3,RW4,14.00,KG,
"Product 1530","Ball & Bearing",P1530,R4,C2,RW1,22.00,pcs,
"Product 1786","Loom F SN-6 m",P1786,R5,C1,RW5,87.00,pkt,
"Product 1275","Loom F SN-6 m",P1275,R7,C2,RW1,25.00,KG,
"Product 1531","Loom F SN-4",P1531,R3,C3,RW5,29.00,pkt,
"Product 1787","Loom F SN-6 m",P1787,R9,C1,RW3,50.00,pcs,
"Product 1276","Ball & Bearing",P1276,R2,C3,RW2,19.00,KG,
"Product 1532","Sewing & printing",P1532,R4,C3,RW2,85.00,KG,
"Product 1788",Stationery,P1788,R7,C5,RW1,61.00,pcs,
"Product 1277","Ball & Bearing",P1277,R9,C4,RW2,79.00,Coel,
"Product 1533","Sewing & printing",P1533,R6,C3,RW1,72.00,pcs,
"Product 1789","Loom F SN-4",P1789,R9,C3,RW1,15.00,Coel,
"Product 1278","Loom F SN-4",P1278,R8,C1,RW1,10.00,KG,
"Product 1534",Stationery,P1534,R7,C5,RW1,69.00,pkt,
"Product 1790","Sewing & printing",P1790,R3,C2,RW2,26.00,pkt,
"Product 1279","Ball & Bearing",P1279,R8,C2,RW5,34.00,Feet,
"Product 1535","Loom F SN-6 m",P1535,R5,C4,RW3,91.00,pkt,
"Product 1791","Ball & Bearing",P1791,R7,C2,RW4,92.00,pcs,
"Product 768","Ball & Bearing",P0768,R6,C1,RW2,66.00,Coel,
"Product 1024","Ball & Bearing",P1024,R8,C5,RW2,81.00,Feet,
"Product 769","Loom F SN-4",P0769,R5,C1,RW2,10.00,Feet,
